NIC58	IPR_accession	IPR_description	GO
NIC58.17482	IPR050690	JHDM1 Histone Demethylase	-
NIC58.1358	IPR000571	Zinc finger, CCCH-type	GO:0046872(InterPro)
NIC58.1358	IPR000571	Zinc finger, CCCH-type	GO:0046872(InterPro)
NIC58.1358	IPR036855	Zinc finger, CCCH-type superfamily	GO:0046872(InterPro)
NIC58.1358	IPR036855	Zinc finger, CCCH-type superfamily	GO:0046872(InterPro)
NIC58.1358	IPR000571	Zinc finger, CCCH-type	GO:0046872(InterPro)
NIC58.1358	IPR000571	Zinc finger, CCCH-type	GO:0046872(InterPro)
NIC58.1358	IPR045877	RNA-binding protein ZFP36-like	GO:0003729(InterPro)|GO:0003730(PANTHER)|GO:0005829(PANTHER)
NIC58.1358	IPR000571	Zinc finger, CCCH-type	GO:0046872(InterPro)
NIC58.16389	IPR007785	Anamorsin	GO:0005737(InterPro)|GO:0005737(PANTHER)|GO:0016226(PANTHER)|GO:0016226(InterPro)|GO:0051536(InterPro)
NIC58.16389	IPR007785	Anamorsin	GO:0005737(InterPro)|GO:0016226(InterPro)|GO:0051536(InterPro)
NIC58.16389	IPR046408	Anamorsin, C-terminal	-
NIC58.16389	IPR046408	Anamorsin, C-terminal	-
NIC58.2876	IPR000086	NUDIX hydrolase domain	-
NIC58.2876	IPR020084	NUDIX hydrolase, conserved site	GO:0016787(InterPro)
NIC58.2876	IPR000086	NUDIX hydrolase domain	-
NIC58.2876	IPR042970	NUDT18, NUDIX hydrolase domain	GO:0017110(InterPro)
NIC58.2876	IPR015797	NUDIX hydrolase-like domain superfamily	-
NIC58.2876	IPR020476	NUDIX hydrolase	-
NIC58.2876	IPR020476	NUDIX hydrolase	-
NIC58.2876	-	-	GO:0044715(PANTHER)|GO:0044716(PANTHER)
NIC58.11815	IPR043472	Macro domain-like	-
NIC58.11815	IPR043472	Macro domain-like	-
NIC58.11736	IPR001079	Galectin, carbohydrate recognition domain	GO:0030246(InterPro)
NIC58.11736	IPR044156	Galectin-like	GO:0016936(PANTHER)|GO:0030246(PANTHER)
NIC58.11736	IPR001079	Galectin, carbohydrate recognition domain	GO:0030246(InterPro)
NIC58.11736	IPR013320	Concanavalin A-like lectin/glucanase domain superfamily	-
NIC58.11736	IPR001079	Galectin, carbohydrate recognition domain	GO:0030246(InterPro)
NIC58.11736	IPR001079	Galectin, carbohydrate recognition domain	GO:0030246(InterPro)
NIC58.11736	IPR001079	Galectin, carbohydrate recognition domain	GO:0030246(InterPro)
NIC58.13655	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	-
NIC58.13655	IPR017452	GPCR, rhodopsin-like, 7TM	GO:0016020(InterPro)
NIC58.13655	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.13655	IPR035979	RNA-binding domain superfamily	GO:0003676(InterPro)
NIC58.13655	IPR052954	GPCR_Ligand_Interaction	-
NIC58.13655	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.13655	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.13655	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.13655	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.13655	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.18144	IPR029058	Alpha/Beta hydrolase fold	-
NIC58.18144	IPR006954	Moulting cycle mlt-10-like	-
NIC58.18144	IPR029058	Alpha/Beta hydrolase fold	-
NIC58.18144	IPR019826	Carboxylesterase type B, active site	-
NIC58.18144	IPR019819	Carboxylesterase type B, conserved site	-
NIC58.18144	IPR002018	Carboxylesterase, type B	-
NIC58.5918	IPR007026	CC domain	-
NIC58.5918	IPR007026	CC domain	-
NIC58.9399	IPR040282	Abnormal cell migration protein 18-like	-
NIC58.9399	IPR055119	Abnormal cell migration protein 18-like, fibronectin type I domain	-
NIC58.9399	IPR055119	Abnormal cell migration protein 18-like, fibronectin type I domain	-
NIC58.9399	IPR055119	Abnormal cell migration protein 18-like, fibronectin type I domain	-
NIC58.9399	IPR055119	Abnormal cell migration protein 18-like, fibronectin type I domain	-
NIC58.9399	IPR055119	Abnormal cell migration protein 18-like, fibronectin type I domain	-
NIC58.9399	IPR055119	Abnormal cell migration protein 18-like, fibronectin type I domain	-
NIC58.3651	IPR001830	Glycosyl transferase, family 20	GO:0003824(InterPro)|GO:0005992(InterPro)
NIC58.3651	IPR001830	Glycosyl transferase, family 20	GO:0003824(InterPro)|GO:0005992(InterPro)
NIC58.3651	IPR041064	Trehalose-6-phosphate phosphatase, helical bundle domain	-
NIC58.3651	IPR001830	Glycosyl transferase, family 20	GO:0003824(InterPro)|GO:0003825(PANTHER)|GO:0004805(PANTHER)|GO:0005829(PANTHER)|GO:0005992(InterPro)|GO:0005992(PANTHER)|GO:0070413(PANTHER)
NIC58.13096	IPR003165	Piwi domain	GO:0003676(InterPro)
NIC58.13096	IPR012337	Ribonuclease H-like superfamily	-
NIC58.12517	IPR039688	STAC1/2/3	GO:0003009(PANTHER)|GO:1901387(PANTHER)|GO:1903078(PANTHER)
NIC58.4157	IPR006876	LMBR1-like membrane protein	-
NIC58.4157	IPR051584	GPCR-associated LMBR1 domain-containing protein	GO:0016020(PANTHER)
NIC58.1257	IPR032054	DNA replication factor Cdt1, C-terminal	-
NIC58.1257	IPR014939	CDT1 Geminin-binding domain-like	-
NIC58.1257	IPR038090	DNA replication factor Cdt1, C-terminal WH domain superfamily	-
NIC58.1257	IPR045173	DNA replication factor Cdt1	GO:0000076(PANTHER)|GO:0000278(PANTHER)|GO:0003677(PANTHER)|GO:0003677(InterPro)|GO:0005634(PANTHER)|GO:0030174(InterPro)|GO:0030174(PANTHER)|GO:0070182(PANTHER)|GO:0071163(InterPro)|GO:0071163(PANTHER)
NIC58.1257	IPR036390	Winged helix DNA-binding domain superfamily	-
NIC58.1257	IPR014939	CDT1 Geminin-binding domain-like	-
NIC58.14321	IPR017907	Zinc finger, RING-type, conserved site	-
NIC58.14321	IPR001841	Zinc finger, RING-type	-
NIC58.14321	IPR013083	Zinc finger, RING/FYVE/PHD-type	-
NIC58.14321	IPR052667	E3 ubiquitin-protein ligase RING-type	-
NIC58.14321	IPR001841	Zinc finger, RING-type	-
NIC58.14321	IPR001841	Zinc finger, RING-type	-
NIC58.4164	IPR054179	PSD13, N-terminal	-
NIC58.4164	IPR035298	26S Proteasome non-ATPase regulatory subunit 13	GO:0005198(PANTHER)|GO:0005634(PANTHER)|GO:0005829(PANTHER)|GO:0006511(PANTHER)|GO:0008541(PANTHER)
NIC58.4164	IPR000717	Proteasome component (PCI) domain	-
NIC58.4164	IPR000717	Proteasome component (PCI) domain	-
NIC58.4164	IPR000717	Proteasome component (PCI) domain	-
NIC58.4164	IPR036390	Winged helix DNA-binding domain superfamily	-
NIC58.3280	IPR002809	Integral membrane protein EMC3/TMCO1-like	GO:0016020(InterPro)
NIC58.3280	IPR005147	tRNA synthetase, B5-domain	GO:0000287(InterPro)|GO:0003723(InterPro)|GO:0005524(InterPro)|GO:0006432(InterPro)
NIC58.3280	IPR002809	Integral membrane protein EMC3/TMCO1-like	GO:0016020(InterPro)
NIC58.3280	IPR009061	Putative DNA-binding domain superfamily	-
NIC58.3280	IPR020825	Phenylalanyl-tRNA synthetase-like, B3/B4	-
NIC58.3280	IPR020825	Phenylalanyl-tRNA synthetase-like, B3/B4	-
NIC58.3280	IPR005147	tRNA synthetase, B5-domain	GO:0000287(InterPro)|GO:0003723(InterPro)|GO:0005524(InterPro)|GO:0006432(InterPro)
NIC58.3280	IPR005147	tRNA synthetase, B5-domain	GO:0000287(InterPro)|GO:0003723(InterPro)|GO:0005524(InterPro)|GO:0006432(InterPro)
NIC58.3280	IPR045060	Phenylalanine-tRNA ligase, class IIc, beta subunit	GO:0004826(InterPro)|GO:0004826(PANTHER)|GO:0006432(PANTHER)|GO:0006432(InterPro)|GO:0009328(PANTHER)
NIC58.3280	IPR005146	B3/B4 tRNA-binding domain	GO:0003723(InterPro)|GO:0004826(InterPro)
NIC58.3280	IPR009061	Putative DNA-binding domain superfamily	-
NIC58.3280	IPR005146	B3/B4 tRNA-binding domain	GO:0003723(InterPro)|GO:0004826(InterPro)
NIC58.3280	IPR040659	Phenylalanine--tRNA ligase beta subunit, B1 domain	-
NIC58.12056	IPR013087	Zinc finger C2H2-type	-
NIC58.12056	IPR013087	Zinc finger C2H2-type	-
NIC58.12056	IPR013087	Zinc finger C2H2-type	-
NIC58.12056	-	-	GO:0005634(PANTHER)
NIC58.12056	IPR013087	Zinc finger C2H2-type	-
NIC58.12056	IPR003656	Zinc finger, BED-type	GO:0003677(InterPro)
NIC58.10565	IPR032452	Sodium/calcium exchanger domain, C-terminal extension	-
NIC58.10565	IPR004837	Sodium/calcium exchanger membrane region	GO:0016020(InterPro)|GO:0055085(InterPro)
NIC58.10565	IPR004837	Sodium/calcium exchanger membrane region	GO:0016020(InterPro)|GO:0055085(InterPro)
NIC58.10565	IPR003644	Na-Ca exchanger/integrin-beta4	GO:0007154(InterPro)|GO:0016020(InterPro)
NIC58.10565	IPR038081	CalX-like domain superfamily	-
NIC58.10565	IPR044880	NCX, central ion-binding domain superfamily	-
NIC58.10565	IPR044880	NCX, central ion-binding domain superfamily	-
NIC58.10565	IPR004836	Sodium/calcium exchanger protein	GO:0005432(InterPro)|GO:0006816(InterPro)|GO:0016020(InterPro)
NIC58.10565	IPR004836	Sodium/calcium exchanger protein	GO:0005432(InterPro)|GO:0006816(InterPro)|GO:0016020(InterPro)
NIC58.10565	IPR004836	Sodium/calcium exchanger protein	GO:0005432(InterPro)|GO:0006816(InterPro)|GO:0016020(InterPro)
NIC58.10565	IPR004836	Sodium/calcium exchanger protein	GO:0005432(InterPro)|GO:0006816(InterPro)|GO:0016020(InterPro)
NIC58.10565	IPR038081	CalX-like domain superfamily	-
NIC58.10565	IPR038081	CalX-like domain superfamily	-
NIC58.10565	IPR004836	Sodium/calcium exchanger protein	GO:0005432(InterPro)|GO:0006816(InterPro)|GO:0016020(InterPro)
NIC58.10565	IPR038081	CalX-like domain superfamily	-
NIC58.10565	IPR051171	Calcium/Cation Antiporter	GO:0005432(PANTHER)|GO:0015491(PANTHER)|GO:0016020(PANTHER)|GO:0030001(PANTHER)|GO:0030424(PANTHER)|GO:0035725(PANTHER)|GO:0042383(PANTHER)|GO:0098703(PANTHER)|GO:0098794(PANTHER)
NIC58.10565	IPR003644	Na-Ca exchanger/integrin-beta4	GO:0007154(InterPro)|GO:0016020(InterPro)
NIC58.10565	IPR003644	Na-Ca exchanger/integrin-beta4	GO:0007154(InterPro)|GO:0016020(InterPro)
NIC58.19824	IPR000182	GNAT domain	GO:0016747(InterPro)
NIC58.19824	IPR051556	N-terminal and lysine N-acetyltransferase	GO:0007064(PANTHER)|GO:0008080(PANTHER)|GO:0031415(PANTHER)
NIC58.19824	IPR016181	Acyl-CoA N-acyltransferase	-
NIC58.19824	IPR000182	GNAT domain	GO:0016747(InterPro)
NIC58.1072	IPR002227	Tyrosinase copper-binding domain	GO:0016491(InterPro)
NIC58.1072	IPR003582	ShKT domain	-
NIC58.1072	IPR003582	ShKT domain	-
NIC58.1072	IPR002227	Tyrosinase copper-binding domain	GO:0016491(InterPro)
NIC58.1072	IPR002227	Tyrosinase copper-binding domain	GO:0016491(InterPro)
NIC58.1072	IPR002227	Tyrosinase copper-binding domain	GO:0016491(InterPro)
NIC58.1072	IPR002227	Tyrosinase copper-binding domain	GO:0016491(InterPro)
NIC58.1072	IPR002227	Tyrosinase copper-binding domain	GO:0016491(InterPro)
NIC58.1072	IPR008922	Di-copper centre-containing domain superfamily	-
NIC58.1072	IPR008922	Di-copper centre-containing domain superfamily	-
NIC58.1072	IPR002227	Tyrosinase copper-binding domain	GO:0016491(InterPro)
NIC58.1072	IPR003582	ShKT domain	-
NIC58.1072	IPR003582	ShKT domain	-
NIC58.1072	IPR003582	ShKT domain	-
NIC58.1072	IPR003582	ShKT domain	-
NIC58.1072	IPR050316	Tyrosinase and Hemocyanin	-
NIC58.1072	IPR003582	ShKT domain	-
NIC58.1072	IPR003582	ShKT domain	-
NIC58.1072	IPR003582	ShKT domain	-
NIC58.1072	IPR003582	ShKT domain	-
NIC58.1072	IPR003582	ShKT domain	-
NIC58.1072	IPR003582	ShKT domain	-
NIC58.13157	IPR013087	Zinc finger C2H2-type	-
NIC58.13157	IPR013087	Zinc finger C2H2-type	-
NIC58.6854	IPR018817	7TM GPCR, serpentine receptor class z (Srz)	-
NIC58.19665	IPR000195	Rab-GAP-TBC domain	-
NIC58.19665	IPR011047	Quinoprotein alcohol dehydrogenase-like superfamily	-
NIC58.19665	IPR050302	Rab GTPase-activating TBC domain-containing protein	GO:0005096(PANTHER)|GO:0031267(PANTHER)|GO:0043087(PANTHER)
NIC58.19665	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515(InterPro)
NIC58.19665	IPR000195	Rab-GAP-TBC domain	-
NIC58.19665	IPR001849	Pleckstrin homology domain	-
NIC58.19665	IPR011993	PH-like domain superfamily	-
NIC58.19665	IPR035969	Rab-GAP-TBC domain superfamily	-
NIC58.19665	IPR001849	Pleckstrin homology domain	-
NIC58.19665	IPR000195	Rab-GAP-TBC domain	-
NIC58.19665	IPR035969	Rab-GAP-TBC domain superfamily	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR001881	EGF-like calcium-binding domain	GO:0005509(InterPro)
NIC58.10560	IPR001881	EGF-like calcium-binding domain	GO:0005509(InterPro)
NIC58.10560	IPR001881	EGF-like calcium-binding domain	GO:0005509(InterPro)
NIC58.10560	IPR001881	EGF-like calcium-binding domain	GO:0005509(InterPro)
NIC58.10560	IPR001881	EGF-like calcium-binding domain	GO:0005509(InterPro)
NIC58.10560	IPR001881	EGF-like calcium-binding domain	GO:0005509(InterPro)
NIC58.10560	IPR001881	EGF-like calcium-binding domain	GO:0005509(InterPro)
NIC58.10560	IPR001881	EGF-like calcium-binding domain	GO:0005509(InterPro)
NIC58.10560	IPR002486	Nematode cuticle collagen, N-terminal	GO:0042302(InterPro)
NIC58.10560	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0006814(InterPro)|GO:0016020(InterPro)
NIC58.10560	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0006814(InterPro)|GO:0016020(InterPro)
NIC58.10560	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0006814(InterPro)|GO:0016020(InterPro)
NIC58.10560	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0006814(InterPro)|GO:0016020(InterPro)
NIC58.10560	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0006814(InterPro)|GO:0016020(InterPro)
NIC58.10560	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0006814(InterPro)|GO:0016020(InterPro)
NIC58.10560	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0006814(InterPro)|GO:0016020(InterPro)
NIC58.10560	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0006814(InterPro)|GO:0016020(InterPro)
NIC58.10560	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0006814(InterPro)|GO:0016020(InterPro)
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR051022	Notch Signaling and Cell Fate Determination	GO:0005886(PANTHER)|GO:0007157(PANTHER)|GO:0032991(PANTHER)|GO:0045197(PANTHER)
NIC58.10560	IPR001873	Epithelial sodium channel	GO:0005272(InterPro)|GO:0006814(InterPro)|GO:0016020(InterPro)
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR008160	Collagen triple helix repeat	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR002486	Nematode cuticle collagen, N-terminal	GO:0042302(InterPro)
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR002889	Carbohydrate-binding WSC	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10560	IPR000742	EGF-like domain	-
NIC58.10068	IPR005044	Protein of unknown function DUF282, Caenorhabditis species	-
NIC58.2313	IPR005514	Chymotrypsin family Peptidase-S1	-
NIC58.18847	IPR029034	Cystine-knot cytokine	-
NIC58.18847	IPR029034	Cystine-knot cytokine	-
NIC58.18847	IPR010345	Interleukin-17 family	GO:0005125(InterPro)|GO:0005576(InterPro)
NIC58.27	IPR024130	DAP1/DAPL1	GO:0010507(PANTHER)|GO:0034198(PANTHER)|GO:0070513(PANTHER)|GO:0097190(PANTHER)
NIC58.27	IPR024130	DAP1/DAPL1	-
NIC58.14464	IPR006434	Pyrimidine 5'-nucleotidase, eukaryotic	GO:0000287(InterPro)|GO:0005737(InterPro)|GO:0008253(InterPro)
NIC58.14464	IPR006434	Pyrimidine 5'-nucleotidase, eukaryotic	GO:0000287(InterPro)|GO:0005737(InterPro)|GO:0008253(InterPro)
NIC58.14464	-	-	GO:0005737(PANTHER)|GO:0008253(PANTHER)
NIC58.14464	IPR006434	Pyrimidine 5'-nucleotidase, eukaryotic	GO:0000287(InterPro)|GO:0005737(InterPro)|GO:0008253(InterPro)
NIC58.14464	IPR006434	Pyrimidine 5'-nucleotidase, eukaryotic	GO:0000287(InterPro)|GO:0005737(InterPro)|GO:0008253(InterPro)
NIC58.14464	IPR036412	HAD-like superfamily	-
NIC58.14464	IPR023214	HAD superfamily	-
NIC58.6804	IPR017972	Cytochrome P450, conserved site	GO:0005506(InterPro)|GO:0016705(InterPro)
NIC58.6804	IPR001128	Cytochrome P450	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR036396	Cytochrome P450 superfamily	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR036396	Cytochrome P450 superfamily	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR050182	Cytochrome P450 family 2	GO:0005737(PANTHER)|GO:0006082(PANTHER)|GO:0006805(PANTHER)|GO:0016712(PANTHER)|GO:0020037(PANTHER)|GO:0043231(PANTHER)
NIC58.6804	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR002401	Cytochrome P450, E-class, group I	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR001128	Cytochrome P450	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR001128	Cytochrome P450	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR001128	Cytochrome P450	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.6804	IPR001128	Cytochrome P450	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
NIC58.1113	IPR034977	CPEB-1, RNA recognition motif 1	-
NIC58.1113	IPR035979	RNA-binding domain superfamily	GO:0003676(InterPro)
NIC58.1113	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	-
NIC58.1113	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.1113	IPR038446	CEBP, ZZ domain superfamily	-
NIC58.1113	IPR034819	Cytoplasmic polyadenylation element-binding protein	GO:0000900(PANTHER)|GO:0003730(PANTHER)|GO:0003730(InterPro)|GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0006417(InterPro)|GO:0008135(PANTHER)|GO:0043005(PANTHER)|GO:0043022(PANTHER)|GO:0045182(InterPro)|GO:0045202(PANTHER)|GO:1990124(PANTHER)|GO:2000766(PANTHER)
NIC58.1113	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	-
NIC58.1113	IPR032296	Cytoplasmic polyadenylation element-binding protein, ZZ domain	-
NIC58.18631	IPR036869	Chaperone J-domain superfamily	-
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR001623	DnaJ domain	-
NIC58.18631	IPR001623	DnaJ domain	-
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515(InterPro)
NIC58.18631	IPR001623	DnaJ domain	-
NIC58.18631	IPR001623	DnaJ domain	-
NIC58.18631	IPR001623	DnaJ domain	-
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515(InterPro)
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR036869	Chaperone J-domain superfamily	-
NIC58.18631	IPR019734	Tetratricopeptide repeat	GO:0005515(InterPro)
NIC58.18631	IPR051727	DnaJ Homolog Subfamily C Member 3 Co-Chaperones	GO:0005783(PANTHER)|GO:0034975(PANTHER)|GO:0051087(PANTHER)|GO:0051787(PANTHER)
NIC58.18631	IPR001623	DnaJ domain	-
NIC58.18631	IPR001623	DnaJ domain	-
NIC58.2064	IPR027267	AH/BAR domain superfamily	-
NIC58.2064	IPR027267	AH/BAR domain superfamily	-
NIC58.11495	IPR011009	Protein kinase-like domain superfamily	-
NIC58.11495	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.11495	IPR050235	Casein Kinase 1 Ser/Thr Protein Kinase	-
