Orthogroup	Ce_transcript	Ct_transcript
OG0002697	transcript_T10H4.3.1	transcript_NIC58.9757.1
OG0002698	transcript_ZK1320.6.1	transcript_NIC58.3811.1
OG0002699	transcript_ZK945.4.1	transcript_NIC58.3950.1
OG0002700	transcript_R13A1.9.1	transcript_NIC58.11857.1
OG0002701	transcript_T19C3.1.1	transcript_NIC58.13686.2
OG0002702	transcript_Y73F8A.11.1	transcript_NIC58.10959.1
OG0002703	transcript_ZC518.1e.1	transcript_NIC58.12235.2
OG0002704	transcript_R13.3.1	transcript_NIC58.12757.3
OG0002705	transcript_T21D12.15.1	transcript_NIC58.13570.2
OG0002706	transcript_Y37E11AR.1.1	transcript_NIC58.12899.1
OG0002707	transcript_T07C4.6.1	transcript_NIC58.14252.1
OG0002708	transcript_H14A12.4.1	transcript_NIC58.16334.1
OG0002709	transcript_F21H11.3.1	transcript_NIC58.16485.1
OG0002710	transcript_ZK328.8b.1	transcript_NIC58.14451.1
OG0002711	transcript_Y46E12A.4.1	transcript_NIC58.14250.2
OG0002712	transcript_F57A8.5.1	transcript_NIC58.9619.1
OG0002714	transcript_C17E7.5.1	transcript_NIC58.7530.1
OG0002715	transcript_C17E7.7a.1	transcript_NIC58.7531.1
OG0002716	transcript_C17E7.6.2	transcript_NIC58.7220.1
OG0002717	transcript_F47C10.4.1	transcript_NIC58.7529.1
OG0002718	transcript_T24A6.11.1	transcript_NIC58.7687.1
OG0002719	transcript_F48G7.13.1	transcript_NIC58.6485.1
OG0002720	transcript_Y60A3A.8.1	transcript_NIC58.10390.1
OG0002721	transcript_D1025.3.1	transcript_NIC58.10717.1
OG0002723	transcript_ZK686.6.1	transcript_NIC58.3901.1
OG0002724	transcript_T07F8.1.1	transcript_NIC58.7198.1
OG0002725	transcript_F15A4.7.1	transcript_NIC58.5920.1
OG0002726	transcript_T12A2.11.1	transcript_NIC58.14354.1
OG0002727	transcript_T12A2.13.1	transcript_NIC58.14353.1
OG0002728	transcript_C18F10.5.1	transcript_NIC58.14355.1
OG0002729	transcript_F15A4.4.1	transcript_NIC58.5919.1
OG0002731	transcript_Y26D4A.6.1	transcript_NIC58.2989.1
OG0002732	transcript_Y53H1A.3.1	transcript_NIC58.2746.1
OG0002733	transcript_K04F1.12b.1	transcript_NIC58.6397.1
OG0002734	transcript_ZK370.3a.1	transcript_NIC58.16309.4
OG0002735	transcript_F49E12.2.1	transcript_NIC58.3443.1
OG0002736	transcript_Y77E11A.23.1	transcript_NIC58.16856.1
OG0002737	transcript_C09H5.6.1	transcript_NIC58.6828.1
OG0002738	transcript_F11G11.7.1	transcript_NIC58.5219.1
OG0002739	transcript_T20D3.2.1	transcript_NIC58.11436.1
OG0002740	transcript_Y53G8AM.5.1	transcript_NIC58.11437.1
OG0002742	transcript_C27D9.1.1	transcript_NIC58.5244.2
OG0002743	transcript_K08F4.7.1	transcript_NIC58.12320.1
OG0002744	transcript_F07C3.10.1	transcript_NIC58.9138.1
OG0002745	transcript_R02C2.4b.1	transcript_NIC58.7353.1
OG0002746	transcript_C56E10.1.1	transcript_NIC58.18529.1
OG0002747	transcript_C13C4.3a.1	transcript_NIC58.8157.1
OG0002748	transcript_C13C4.1.1	transcript_NIC58.8158.1
OG0002749	transcript_R07B7.16.1	transcript_NIC58.8160.1
OG0002750	transcript_C13C4.2.1	transcript_NIC58.8159.2
OG0002751	transcript_Y104H12BR.1b.1	transcript_NIC58.13396.1
OG0002752	transcript_Y47D3A.10.1	transcript_NIC58.14854.1
OG0002754	transcript_C24B9.4a.1	transcript_NIC58.7211.1
OG0002755	transcript_M02H5.2.1	transcript_NIC58.10729.1
OG0002756	transcript_F41B5.9.1	transcript_NIC58.7782.1
OG0002757	transcript_T01G6.6b.1	transcript_NIC58.6473.1
OG0002758	transcript_Y17D7A.4.1	transcript_NIC58.10480.1
OG0002759	transcript_C50H11.15.1	transcript_NIC58.6306.1
OG0002760	transcript_C12D5.7.1	transcript_NIC58.6541.2
OG0002761	transcript_Y49C4A.9.1	transcript_NIC58.10962.1
OG0002762	transcript_Y5H2B.6.2	transcript_NIC58.7774.1
OG0002763	transcript_Y37F4.2.1	transcript_NIC58.2153.1
OG0002765	transcript_F44F1.7.1	transcript_NIC58.2056.1
OG0002766	transcript_F35C5.5a.1	transcript_NIC58.3578.2
OG0002767	transcript_ZK666.6.1	transcript_NIC58.4287.3
OG0002768	transcript_C17H12.9.1	transcript_NIC58.11771.1
OG0002769	transcript_T02B5.2.1	transcript_NIC58.16504.1
OG0002770	transcript_T26C11.5.1	transcript_NIC58.16507.1
OG0002771	transcript_T26A5.5a.1	transcript_NIC58.14370.3
OG0002772	transcript_Y45F10B.14.1	transcript_NIC58.12489.1
OG0002773	transcript_C04E6.10.1	transcript_NIC58.8786.1
OG0002774	transcript_F21A3.11.1	transcript_NIC58.10251.2
OG0002775	transcript_F15A4.1.1	transcript_NIC58.5341.1
OG0002776	transcript_R11D1.2.1	transcript_NIC58.9518.1
OG0002777	transcript_Y57A10B.4.1	transcript_NIC58.5333.1
OG0002778	transcript_ZC455.3.1	transcript_NIC58.7095.1
OG0002779	transcript_C13D9.9.1	transcript_NIC58.7913.1
OG0002780	transcript_H23N18.2.1	transcript_NIC58.7411.1
OG0002781	transcript_F32H5.6a.1	transcript_NIC58.7977.1
OG0002782	transcript_F09F3.12.1	transcript_NIC58.18568.1
OG0002783	transcript_F55B12.7.1	transcript_NIC58.6778.1
OG0002784	transcript_F09F3.13.1	transcript_NIC58.6789.1
OG0002785	transcript_M151.10.1	transcript_NIC58.633.1
OG0002786	transcript_W09C3.8.1	transcript_NIC58.1039.1
OG0002787	transcript_T26H5.10.1	transcript_NIC58.2283.1
OG0002788	transcript_F54D10.7.1	transcript_NIC58.5714.1
OG0002789	transcript_C24B9.12.1	transcript_NIC58.7232.1
OG0002790	transcript_ZK678.6.1	transcript_NIC58.9749.1
OG0002793	transcript_C53A5.8.1	transcript_NIC58.7231.1
OG0002794	transcript_R05D8.6.1	transcript_NIC58.7233.1
OG0002795	transcript_F26A3.3.1	transcript_NIC58.822.1
OG0002796	transcript_F01D4.9.1	transcript_NIC58.12863.1
OG0002797	transcript_K08H2.9.1	transcript_NIC58.19538.1
OG0002798	transcript_C18G1.3b.1	transcript_NIC58.10370.1
OG0002799	transcript_C49F5.2.1	transcript_NIC58.19053.2
OG0002800	transcript_W01C8.4.1	transcript_NIC58.5657.1
OG0002801	transcript_R03H4.6.1	transcript_NIC58.9062.1
OG0002802	transcript_H12I19.4a.1	transcript_NIC58.13571.1
OG0002803	transcript_F39G3.6.1	transcript_NIC58.9058.1
OG0002804	transcript_Y67A10A.1.1	transcript_NIC58.9059.1
OG0002805	transcript_R03H4.5.1	transcript_NIC58.9061.1
OG0002806	transcript_F25B5.4.2	transcript_NIC58.14467.1
OG0002807	transcript_ZK1010.1.1	transcript_NIC58.13975.1
OG0002808	transcript_T28D9.9.1	transcript_NIC58.4732.1
OG0002809	transcript_C06E1.7.1	transcript_NIC58.14832.1
OG0002810	transcript_F18E3.1.1	transcript_NIC58.6564.1
OG0002811	transcript_F56D5.10.1	transcript_NIC58.10700.1
OG0002812	transcript_W07A8.1.1	transcript_NIC58.10698.1
OG0002813	transcript_C09E7.1.1	transcript_NIC58.15149.1
OG0002814	transcript_C31A11.6.1	transcript_NIC58.10095.1
OG0002815	transcript_W07A8.5.1	transcript_NIC58.10696.1
OG0002816	transcript_Y64G10A.8.1	transcript_NIC58.11181.1
OG0002818	transcript_C44B9.4.2	transcript_NIC58.14752.1
OG0002819	transcript_T13A10.13.1	transcript_NIC58.11685.1
OG0002820	transcript_Y73B6BL.11.1	transcript_NIC58.11689.1
OG0002821	transcript_F38H4.6.1	transcript_NIC58.14975.1
OG0002822	transcript_T05B4.14.1	transcript_NIC58.7030.1
OG0002823	transcript_Y51A2D.12.1	transcript_NIC58.10570.2
OG0002825	transcript_T07H8.5.1	transcript_NIC58.8961.3
OG0002826	transcript_T19C4.2.1	transcript_NIC58.8378.1
OG0002827	transcript_F36G9.12.1	transcript_NIC58.10108.1
OG0002828	transcript_C31A11.7.1	transcript_NIC58.10094.1
OG0002829	transcript_W06G6.1.1	transcript_NIC58.9684.1
OG0002830	transcript_F09B9.1a.1	transcript_NIC58.17474.2
OG0002831	transcript_T25B2.1.1	transcript_NIC58.18422.1
OG0002832	transcript_T13C5.10.1	transcript_NIC58.18427.1
OG0002833	transcript_F43A11.6.1	transcript_NIC58.8266.1
OG0002834	transcript_F43A11.4.1	transcript_NIC58.8265.1
OG0002835	transcript_F35B12.1a.1	transcript_NIC58.8264.1
OG0002836	transcript_F43A11.1.1	transcript_NIC58.8267.1
OG0002837	transcript_C06B3.3.1	transcript_NIC58.6804.1
OG0002838	transcript_F14H3.10.1	transcript_NIC58.9799.1
OG0002840	transcript_C17H12.3.2	transcript_NIC58.15575.1
OG0002841	transcript_C46H11.9.1	transcript_NIC58.588.1
OG0002842	transcript_C54D10.3.1	transcript_NIC58.8057.2
OG0002843	transcript_F36D1.8.1	transcript_NIC58.3021.2
OG0002844	transcript_C54F6.3.1	transcript_NIC58.7761.1
OG0002845	transcript_C34E11.4.1	transcript_NIC58.18989.1
OG0002846	transcript_B0024.4.1	transcript_NIC58.8576.1
OG0002847	transcript_C16D9.3.1	transcript_NIC58.6947.1
OG0002848	transcript_B0222.1.1	transcript_NIC58.9105.1
OG0002849	transcript_F21C10.6.1	transcript_NIC58.9097.1
OG0002850	transcript_F17C8.2.1	transcript_NIC58.15105.1
OG0002851	transcript_ZC373.7.1	transcript_NIC58.17466.1
OG0002852	transcript_B0024.1.1	transcript_NIC58.8578.1
OG0002853	transcript_B0024.2.1	transcript_NIC58.8577.1
OG0002854	transcript_B0222.7.1	transcript_NIC58.9115.1
OG0002855	transcript_F58D7.1.1	transcript_NIC58.8792.1
OG0002856	transcript_C04E6.2.1	transcript_NIC58.8791.1
OG0002857	transcript_T05A12.1.1	transcript_NIC58.11776.2
OG0002858	transcript_T07H8.1.1	transcript_NIC58.8965.1
OG0002859	transcript_E02C12.9.1	transcript_NIC58.6398.1
OG0002860	transcript_E02C12.19.1	transcript_NIC58.8443.1
OG0002861	transcript_C18B10.6.1	transcript_NIC58.7770.1
OG0002862	transcript_K08D8.3.1	transcript_NIC58.12405.1
OG0002863	transcript_C34D4.2.1	transcript_NIC58.3975.1
OG0002864	transcript_F23B12.1.1	transcript_NIC58.4237.1
OG0002865	transcript_F22D6.9.1	transcript_NIC58.130.1
OG0002866	transcript_Y71G12B.30a.1	transcript_NIC58.629.1
OG0002868	transcript_C05C10.2b.1	transcript_NIC58.3730.2
OG0002869	transcript_F16D3.1.1	transcript_NIC58.1121.2
OG0002870	transcript_ZK899.4.1	transcript_NIC58.17268.1
OG0002871	transcript_C44B11.3.1	transcript_NIC58.14119.1
OG0002872	transcript_T28D6.2.1	transcript_NIC58.14879.1
OG0002873	transcript_F32H2.9.1	transcript_NIC58.1572.1
OG0002874	transcript_F40F4.5.1	transcript_NIC58.17955.3
OG0002875	transcript_F02E11.3.1	transcript_NIC58.5854.1
OG0002876	transcript_Y38E10A.6b.1	transcript_NIC58.17046.2
OG0002878	transcript_R06B9.2b.1	transcript_NIC58.19251.1
OG0002879	transcript_C18H2.1.1	transcript_NIC58.16384.1
OG0002880	transcript_C18H2.5.1	transcript_NIC58.15368.1
OG0002881	transcript_F37A4.4.1	transcript_NIC58.15260.1
OG0002882	transcript_B0513.1a.1	transcript_NIC58.11225.1
OG0002883	transcript_B0213.16.1	transcript_NIC58.7599.1
OG0002884	transcript_T09H2.1.1	transcript_NIC58.7605.1
OG0002887	transcript_F58E6.6.1	transcript_NIC58.9251.1
OG0002888	transcript_F13A7.12.1	transcript_NIC58.8085.1
OG0002889	transcript_K01D12.1.1	transcript_NIC58.8084.1
OG0002890	transcript_T22H2.3.1	transcript_NIC58.2383.1
OG0002891	transcript_T22H2.1.1	transcript_NIC58.2382.1
OG0002892	transcript_F36D3.1.1	transcript_NIC58.16957.1
OG0002893	transcript_C13A2.5.1	transcript_NIC58.6727.1
OG0002894	transcript_Y41D4B.16.1	transcript_NIC58.13628.1
OG0002896	transcript_C34H4.3a.1	transcript_NIC58.13626.2
OG0002897	transcript_W07B8.5.1	transcript_NIC58.7337.1
OG0002898	transcript_F44C4.3.1	transcript_NIC58.8901.1
OG0002899	transcript_W07B8.4a.1	transcript_NIC58.7331.1
OG0002900	transcript_T11A5.7a.1	transcript_NIC58.9278.1
OG0002901	transcript_T11A5.3.1	transcript_NIC58.9277.1
OG0002902	transcript_T11A5.2.1	transcript_NIC58.9276.1
OG0002903	transcript_C06C6.5a.1	transcript_NIC58.9993.1
OG0002904	transcript_C06C6.4.1	transcript_NIC58.9994.1
OG0002905	transcript_C33G8.9.1	transcript_NIC58.8970.1
OG0002906	transcript_T10H4.2.1	transcript_NIC58.10194.1
OG0002907	transcript_ZK993.2a.1	transcript_NIC58.12286.1
OG0002908	transcript_C30F2.2.1	transcript_NIC58.17202.1
OG0002909	transcript_C27A12.8.1	transcript_NIC58.2016.4
OG0002910	transcript_C27D6.10.1	transcript_NIC58.5126.1
OG0002911	transcript_F58A6.10b.1	transcript_NIC58.5131.1
OG0002912	transcript_F23F12.10.1	transcript_NIC58.14093.1
OG0002913	transcript_C48B6.5.1	transcript_NIC58.1870.1
OG0002914	transcript_ZK1055.4.1	transcript_NIC58.8897.1
OG0002915	transcript_F32H2.11.1	transcript_NIC58.1585.1
OG0002916	transcript_F31F4.1b.1	transcript_NIC58.6504.1
OG0002917	transcript_D1014.5.1	transcript_NIC58.6911.1
OG0002918	transcript_D1014.6.1	transcript_NIC58.6910.1
OG0002919	transcript_D1014.7a.1	transcript_NIC58.6902.1
OG0002920	transcript_Y51B9A.4.1	transcript_NIC58.3742.1
OG0002921	transcript_Y40H7A.4b.1	transcript_NIC58.11009.1
OG0002923	transcript_C23G10.1b.1	transcript_NIC58.14811.1
OG0002924	transcript_F56B6.2h.1	transcript_NIC58.18008.4
OG0002925	transcript_C05B5.7b.1	transcript_NIC58.15647.1
OG0002926	transcript_C18H7.8.1	transcript_NIC58.12931.1
OG0002927	transcript_H23L24.1.1	transcript_NIC58.13158.1
OG0002929	transcript_K04F1.16.1	transcript_NIC58.6608.1
OG0002930	transcript_C51E3.3.1	transcript_NIC58.8946.1
OG0002931	transcript_C51E3.1.1	transcript_NIC58.8617.1
OG0002932	transcript_C51E3.5.1	transcript_NIC58.8614.1
OG0002933	transcript_F20A1.3.1	transcript_NIC58.9020.1
OG0002934	transcript_T19B10.10.1	transcript_NIC58.8359.1
OG0002935	transcript_F17A2.6.1	transcript_NIC58.19522.1
OG0002936	transcript_F17A2.12.1	transcript_NIC58.19521.1
OG0002937	transcript_R04D3.8.1	transcript_NIC58.19525.1
OG0002938	transcript_F40E3.6a.1	transcript_NIC58.859.2
OG0002939	transcript_C45E1.5.1	transcript_NIC58.1198.1
OG0002940	transcript_F52E10.2.1	transcript_NIC58.17010.1
OG0002941	transcript_F44B9.9.1	transcript_NIC58.16185.1
OG0002942	transcript_VC5.4.1	transcript_NIC58.8989.1
OG0002943	transcript_C55B7.11.2	transcript_NIC58.1806.1
OG0002944	transcript_K03D10.3a.1	transcript_NIC58.3006.1
OG0002945	transcript_C04F12.4.1	transcript_NIC58.283.1
OG0002946	transcript_F36D1.3.1	transcript_NIC58.2548.1
OG0002947	transcript_R07B5.6a.1	transcript_NIC58.9273.1
OG0002948	transcript_C33D9.4.1	transcript_NIC58.9271.1
OG0002949	transcript_C50C10.3.1	transcript_NIC58.7436.1
OG0002950	transcript_Y39E4B.9c.1	transcript_NIC58.15268.1
OG0002951	transcript_C42D4.12.1	transcript_NIC58.11853.1
OG0002953	transcript_F39E9.4.1	transcript_NIC58.5853.2
OG0002955	transcript_C55A6.7.1	transcript_NIC58.8285.1
OG0002956	transcript_C30G12.2.1	transcript_NIC58.4554.1
OG0002957	transcript_T07C12.6.1	transcript_NIC58.9297.1
OG0002958	transcript_Y57A10C.3.1	transcript_NIC58.5343.1
OG0002959	transcript_F58F9.3b.1	transcript_NIC58.11672.1
OG0002960	transcript_Y37D8A.9b.1	transcript_NIC58.13979.1
OG0002961	transcript_F57B1.9a.1	transcript_NIC58.8689.1
OG0002962	transcript_F57B1.1.1	transcript_NIC58.8688.1
OG0002963	transcript_Y38F2AR.1a.1	transcript_NIC58.13504.1
OG0002964	transcript_Y54G2A.6a.1	transcript_NIC58.13615.1
OG0002966	transcript_M199.1.1	transcript_NIC58.11020.1
OG0002968	transcript_Y41E3.17.1	transcript_NIC58.11017.2
OG0002969	transcript_Y39B6A.29a.1	transcript_NIC58.10481.1
OG0002970	transcript_ZK6.8.1	transcript_NIC58.7374.1
OG0002971	transcript_ZK6.6.1	transcript_NIC58.7387.1
OG0002972	transcript_C50C10.7.1	transcript_NIC58.9268.1
OG0002973	transcript_C50C10.6.1	transcript_NIC58.9267.1
OG0002974	transcript_F20D6.4d.1	transcript_NIC58.6927.1
OG0002976	transcript_C05E4.1.2	transcript_NIC58.6511.1
OG0002977	transcript_F20D6.3.1	transcript_NIC58.6527.1
OG0002978	transcript_C55A1.8.1	transcript_NIC58.14629.1
OG0002979	transcript_F44E7.7a.1	transcript_NIC58.8765.1
OG0002980	transcript_C04F1.1.1	transcript_NIC58.1968.1
OG0002981	transcript_Y71G12B.18a.1	transcript_NIC58.693.2
OG0002982	transcript_T13H10.1.1	transcript_NIC58.14860.1
OG0002983	transcript_ZK1236.2.1	transcript_NIC58.14998.1
OG0002984	transcript_K02E11.3.1	transcript_NIC58.9554.1
OG0002985	transcript_Y34B4A.2.1	transcript_NIC58.18287.1
OG0002986	transcript_C15H9.6a.2	transcript_NIC58.18400.1
OG0002987	transcript_F26D10.3.1	transcript_NIC58.10833.1
OG0002988	transcript_C12C8.1.1	transcript_NIC58.845.1
OG0002989	transcript_T11A5.6a.1	transcript_NIC58.9280.1
OG0002990	transcript_F44F1.3.1	transcript_NIC58.3100.1
OG0002992	transcript_W02B3.4.1	transcript_NIC58.13698.1
OG0002993	transcript_T07A5.1.1	transcript_NIC58.14631.1
OG0002994	transcript_Y25C1A.2.1	transcript_NIC58.5876.1
OG0002995	transcript_F32A5.8.1	transcript_NIC58.4556.3
OG0002996	transcript_C08B11.5.1	transcript_NIC58.3369.1
OG0002997	transcript_C08B11.6.1	transcript_NIC58.3370.1
OG0002998	transcript_F52G2.2a.1	transcript_NIC58.12486.1
OG0002999	transcript_Y47D3A.16.1	transcript_NIC58.14875.4
OG0003000	transcript_F22B3.5a.1	transcript_NIC58.12134.1
OG0003002	transcript_M199.136.1	transcript_NIC58.11000.1
OG0003003	transcript_T10H9.6b.1	transcript_NIC58.6662.1
OG0003004	transcript_T18H9.4.1	transcript_NIC58.9125.1
