pop	chromosome	window_pos_1	window_pos_2	avg_watterson_theta	no_sites	raw_watterson_theta	no_var_sites	weighted_no_sites
Micronesia	I	100001	110000	0.0004316667669125	9324	4.0248609346921	22	9163.3043478261
Taiwan	I	110001	120000	0.00051993651371132	8791	4.5707618920362	24	8539.3888888889
Hawaii	I	110001	120000	0.00031806707002206	8807	2.8012166856843	15	8504.4
Caribbean	I	110001	120000	0.00014712006881971	8770	1.2902430035489	7	8554
Indonesia	I	110001	120000	0.0005706549174463	8786	5.0137741046832	13	8676
Africa	I	110001	120000	0.00033637657259919	8736	2.9385857382266	12	8364
South America	I	110001	120000	0.00041361291632031	8859	3.6641968256816	25	8580.9118773946
Central America	I	110001	120000	0.00015838069407655	8810	1.3953339148144	8	8520.5862068966
Australia	I	110001	120000	7.5550827469211e-05	8766	0.66227855359511	2	8609.6666666667
Micronesia	I	110001	120000	0.00020629853827863	8898	1.8356443936032	10	8340.5217391304
Taiwan	I	120001	130000	0.00035571113087924	9630	3.425498190367	18	9609.3333333333
Hawaii	I	120001	130000	0.000329317266603	9630	3.1713252773869	17	9574.2833333333
Caribbean	I	120001	130000	0.0002108858017121	9630	2.0308302704875	11	9613.25
Indonesia	I	120001	130000	0.00048602081482906	9630	4.6803804468038	12	9620
Africa	I	120001	130000	0.00033015766599142	9630	3.1794183234974	13	9590.2941176471
South America	I	120001	130000	0.00025834230738698	9630	2.4878364201366	17	9619.4750957854
Central America	I	120001	130000	0.00012681937722678	9630	1.2212706026939	7	9598.7931034483
Australia	I	120001	130000	0.00017193108867993	9630	1.6556963839878	5	9625.6666666667
Micronesia	I	120001	130000	0.00017124687625607	9630	1.649107418346	9	9500.0724637681
Taiwan	I	130001	140000	0.00045035865407554	9301	4.1887858415566	22	9241.6111111111
Hawaii	I	130001	140000	0.00034128736449216	9301	3.1743137771416	17	9198.7333333333
Caribbean	I	130001	140000	0.00017835543078225	9301	1.6588838617057	9	9239.703125
Indonesia	I	130001	140000	0.00049759156795546	9301	4.6280991735537	12	9242
Africa	I	130001	140000	0.00050000862489085	9301	4.6505802201098	19	9270.8235294118
South America	I	130001	140000	0.0003619115892122	9301	3.3661396912627	23	9282.1800766284
Central America	I	130001	140000	0.00016884824305223	9301	1.5704575086288	9	9265.7471264368
Australia	I	130001	140000	0.0001078161309304	9214	0.99341783039266	3	9180.3333333333
Micronesia	I	130001	140000	3.9250323648074e-05	9301	0.36506726025073	2	9094.7536231884
Taiwan	I	140001	150000	0.00038038791678008	9511	3.6178694764954	19	9434.4444444444
Hawaii	I	140001	150000	0.00037468319976809	9511	3.5636119129943	19	9375.8833333333
Caribbean	I	140001	150000	0.00027194522479653	9511	2.5864710330398	14	9416.421875
Indonesia	I	140001	150000	0.00072998409677503	9510	6.9421487603306	18	9467.5
Africa	I	140001	150000	0.00048896858585951	9511	4.6505802201098	19	9396.0588235294
South America	I	140001	150000	0.00040019022195299	9511	3.8062092009949	26	9484.4367816092
Central America	I	140001	150000	0.00012844386882469	9511	1.2216296363916	7	9420.3448275862
Australia	I	140001	150000	0.00017468837138508	9478	1.6556963839878	5	9430.5
Micronesia	I	140001	150000	0.000231495902291	9511	2.2017575266897	12	9276.2463768116
Taiwan	I	150001	160000	0.00047409624437675	9641	4.5707618920362	24	9550.8703703704
Hawaii	I	150001	160000	0.00043195321033688	9641	4.1644609008579	22	9481.6
Caribbean	I	150001	160000	0.00019135156537146	9641	1.8448204417462	10	9582.53125
Indonesia	I	150001	160000	0.0006000543477795	9641	5.7851239669421	15	9608
Africa	I	150001	160000	0.00055886632049736	9641	5.388030195915	22	9590.9411764706
South America	I	150001	160000	0.00044024907291537	9641	4.2444413119771	29	9633.9885057471
Central America	I	150001	160000	0.00023533153412494	9641	2.2688313204986	13	9614
Australia	I	150001	160000	0.0001373879376818	9641	1.3245571071902	4	9620.5
Micronesia	I	150001	160000	0.00028588352949657	9641	2.7562031078764	15	9427.2608695652
Taiwan	I	160001	170000	0.00027977279956794	9523	2.6642763702855	14	9440.1666666667
Hawaii	I	160001	170000	0.00031392464410833	9523	2.9895043858436	16	9338.1166666667
Caribbean	I	160001	170000	0.00015484232202324	9523	1.4745634326273	8	9420.921875
Indonesia	I	160001	170000	0.0006480570151304	9522	6.1707988980716	16	9454.25
Africa	I	160001	170000	0.00052507906410696	9523	5.0003279274906	20	9370.2941176471
South America	I	160001	170000	0.00041493794309148	9523	3.9514540320602	27	9466.5862068966
Central America	I	160001	170000	0.00027476682951888	9523	2.6166045175083	15	9449.9425287356
Australia	I	160001	170000	0.00010431773919906	9523	0.99341783039266	3	9467.5
Micronesia	I	160001	170000	0.00023077892393698	9523	2.1977076926519	12	9335.5942028986
Taiwan	I	170001	180000	0.00047672380806491	9598	4.575595109807	24	9541.962962963
Hawaii	I	170001	180000	0.00029166561917885	9598	2.7994066128786	15	9545.3
Caribbean	I	170001	180000	0.00019209658343108	9598	1.8437430077715	10	9549.953125
Indonesia	I	170001	180000	0.00084383971178569	9598	8.099173553719	21	9564.75
Africa	I	170001	180000	0.00048453638467491	9598	4.6505802201098	19	9494.3529411765
South America	I	170001	180000	0.00050324778317528	9598	4.8301722229163	33	9577.7624521073
Central America	I	170001	180000	0.00021876114446356	9598	2.0996694645613	12	9534.4252873563
Australia	I	170001	180000	3.4500862346067e-05	9598	0.33113927679755	1	9548.1666666667
Micronesia	I	170001	180000	0.00024902132132921	9598	2.3901066421178	13	9369.9565217391
Taiwan	I	180001	190000	0.00036024405536202	9521	3.4298836511018	18	9470.3703703704
Hawaii	I	180001	190000	0.00037246129142496	9521	3.5462039556571	19	9467.8333333333
Caribbean	I	180001	190000	0.00025178479277325	9521	2.3972430119941	13	9485.84375
Indonesia	I	180001	190000	0.00064812508119647	9521	6.1707988980716	16	9482.25
Africa	I	180001	190000	0.0005677467634761	9521	5.405516935056	22	9474.2941176471
South America	I	180001	190000	0.00050721346556987	9521	4.8291794056907	33	9508.8352490421
Central America	I	180001	190000	0.00027493591000968	9521	2.6176647992022	15	9483.8505747126
Australia	I	180001	190000	0.00013911953651825	9521	1.3245571071902	4	9517.3333333333
Micronesia	I	180001	190000	0.00042356501559327	9521	4.0327625134635	22	9326.2463768116
Taiwan	I	190001	200000	0.0007878237096925	9426	7.4260262875615	39	9388.3148148148
Hawaii	I	190001	200000	0.00045543957199838	9426	4.2929734056567	23	9380.2
Caribbean	I	190001	200000	0.000215156316237	9426	2.0280634368499	11	9396.859375
Indonesia	I	190001	200000	0.00061374113801635	9426	5.7851239669421	15	9321.75
Africa	I	190001	200000	0.00072729196239436	9426	6.8554540375292	28	9389.4705882353
South America	I	190001	200000	0.00055892348236958	9426	5.2684127448157	36	9414.7356321839
Central America	I	190001	200000	0.00018511290557825	9426	1.7448742479806	10	9389.632183908
Australia	I	190001	200000	0.00017565206704729	9426	1.6556963839878	5	9413.6666666667
Micronesia	I	190001	200000	0.00025337105539797	9426	2.3882755681812	13	9206.9420289855
Taiwan	I	200001	210000	0.00051264863661785	9290	4.7625058341798	25	9232.7962962963
Hawaii	I	200001	210000	0.00044236371819814	9290	4.1095589420607	22	9228.5666666667
Caribbean	I	200001	210000	0.00031745176159899	9290	2.9491268652546	16	9263.3125
Indonesia	I	200001	210000	0.00062272593831455	9290	5.7851239669421	15	9265.25
Africa	I	200001	210000	0.00071577741016888	9290	6.6495721404689	27	9221.8235294118
South America	I	200001	210000	0.0005987593454991	9290	5.5624743196867	38	9276.5172413793
Central America	I	200001	210000	0.00037553156235386	9290	3.4886882142673	20	9249.0229885057
Australia	I	200001	210000	0.00014257880594082	9290	1.3245571071902	4	9240.1666666667
Micronesia	I	200001	210000	0.0002954042588642	9290	2.7443055648484	15	9114.9855072464
Taiwan	I	210001	220000	0.00054802426148828	9040	4.954139323854	26	8894.2407407407
Hawaii	I	210001	220000	0.00037331556278916	9040	3.374772687614	18	8918.9166666667
Caribbean	I	210001	220000	0.000203894279954	9040	1.8432042907841	10	8941.53125
Indonesia	I	210001	220000	0.0010665789024598	9040	9.6418732782369	25	9002.25
Africa	I	210001	220000	0.00059602103937113	9040	5.388030195915	22	8925.9411764706
South America	I	210001	220000	0.00038904564794657	9040	3.516972657437	24	9015.091954023
Central America	I	210001	220000	0.00021243011595094	9040	1.9203682481965	11	8946.4942528736
Australia	I	210001	220000	0.0001831522548659	9040	1.6556963839878	5	9014.6666666667
Micronesia	I	210001	220000	0.00042757219794049	9040	3.865252669382	21	8681.1594202899
Taiwan	I	220001	230000	0.00061451717894933	8697	5.3444559053223	28	8394.7037037037
Hawaii	I	220001	230000	0.0005206691059258	8600	4.4777543109619	24	8412.85
Caribbean	I	220001	230000	0.00035075670679069	8938	3.1350634452951	17	8651.265625
Indonesia	I	220001	230000	0.00067190754552174	8610	5.7851239669421	15	8483
Africa	I	220001	230000	0.00071724672509963	8890	6.3763233861357	26	8422.9411764706
South America	I	220001	230000	0.00052178141800584	8976	4.6835100080204	32	8745.0191570881
Central America	I	220001	230000	0.00033241588435941	8932	2.9691386790983	17	8685.9425287356
Australia	I	220001	230000	0.00034893495974452	8541	2.980253491178	9	8388.3333333333
Micronesia	I	220001	230000	0.00049056797062779	8963	4.3969607207369	24	8354.9565217391
Taiwan	I	230001	240000	0.00042894799627479	9334	4.0038005972289	21	9241.5740740741
Hawaii	I	230001	240000	0.00029985187480224	9334	2.7988173994041	15	9234.7333333333
Caribbean	I	230001	240000	0.00019782620970742	9334	1.8465098414091	10	9294.546875
Indonesia	I	230001	240000	0.00070242916533117	9334	6.5564738292011	17	9247
Africa	I	230001	240000	0.00049784038623437	9334	4.6468421651116	19	9232.9411764706
South America	I	230001	240000	0.00056457612156744	9334	5.2697535187105	36	9307.7126436782
Central America	I	230001	240000	0.00026183421049704	9334	2.4439605207793	14	9291.816091954
Australia	I	230001	240000	0.00010643002254046	9334	0.99341783039266	3	9310.6666666667
Micronesia	I	230001	240000	0.00027564417835554	9334	2.5728627607706	14	9112.5507246377
Taiwan	I	240001	250000	0.00042222601758566	9470	3.9984803865362	21	9182.2592592593
Hawaii	I	240001	250000	0.00035610616644815	9441	3.361998317437	18	9136.2333333333
Caribbean	I	240001	250000	0.00021551550197663	9470	2.0409318037187	11	9213.921875
Indonesia	I	240001	250000	0.00044798566445874	9470	4.2424242424242	11	9346.25
Africa	I	240001	250000	0.00049193755717887	9446	4.6468421651116	19	9214.9411764706
South America	I	240001	250000	0.00049466841542226	9470	4.6845098940488	32	9261.3793103448
Central America	I	240001	250000	0.00033174465382473	9470	3.1416218717201	18	9224.816091954
Australia	I	240001	250000	0.00017587597025576	9414	1.6556963839878	5	9266.3333333333
Micronesia	I	240001	250000	0.00027078508274328	9470	2.5643347335788	14	9071.652173913
Taiwan	I	250001	260000	0.00035763208483153	9584	3.4275459010254	18	9561.5925925926
Hawaii	I	250001	260000	0.00013625206804054	9584	1.3058398201005	7	9557.45
Caribbean	I	250001	260000	5.7696294577968e-05	9584	0.55296128723524	3	9574.625
Indonesia	I	250001	260000	0.0003621738710523	9584	3.4710743801653	9	9547.5
Africa	I	250001	260000	0.00030622367312483	9584	2.9348476832284	12	9574.5882352941
South America	I	250001	260000	0.00024432282451759	9584	2.3415899501766	16	9575.091954023
Central America	I	250001	260000	0.00018209804624498	9584	1.7452276752119	10	9561.7471264368
Australia	I	250001	260000	3.4551260099912e-05	9584	0.33113927679755	1	9583.5
Micronesia	I	250001	260000	0.00013329278328827	9584	1.2774780350348	7	9493.1884057971
Taiwan	I	260001	270000	0.00043567683150749	9616	4.189468411776	22	9586.7222222222
Hawaii	I	260001	270000	0.00040776359620928	9616	3.9210547411484	21	9567.4666666667
Caribbean	I	260001	270000	0.00015340080590835	9616	1.4751021496147	8	9591.296875
Indonesia	I	260001	270000	0.0008422601449375	9616	8.099173553719	21	9583
Africa	I	260001	270000	0.00048324065776951	9616	4.6468421651116	19	9590.0588235294
South America	I	260001	270000	0.0005326626834512	9616	5.1220843640668	35	9604.9272030651
Central America	I	260001	270000	0.00025411887412105	9616	2.4436070935481	14	9585.6781609195
Australia	I	260001	270000	6.887256172994e-05	9616	0.66227855359511	2	9615.8333333333
Micronesia	I	260001	270000	0.00024759294065283	9616	2.3808537173176	13	9435.7246376812
Taiwan	I	270001	280000	0.00035012549326254	9250	3.2386608126785	17	9183.9259259259
Hawaii	I	270001	280000	0.00022203411781924	9250	2.0538155898279	11	9146.15
Caribbean	I	270001	280000	9.963266436671e-05	9250	0.92160214539207	5	9176.859375
Indonesia	I	270001	280000	0.00041694587149133	9250	3.8567493112948	10	9213.25
Africa	I	270001	280000	0.00047781170421443	9250	4.4197582639835	18	9070.8235294118
South America	I	270001	280000	0.00060125931200701	9250	5.5616486360648	38	9229.8007662835
Central America	I	270001	280000	0.00018891196022723	9250	1.7474356321019	10	9144.0804597701
Australia	I	270001	280000	7.1752822708029e-05	9230	0.66227855359511	2	9193
Micronesia	I	270001	280000	0.00022004939108376	9250	2.0354568675248	11	8960.2753623188
Taiwan	I	280001	290000	0.00053607818756582	8889	4.7651990092725	25	8785.6296296296
Hawaii	I	280001	290000	0.00056676669609881	8889	5.0379891616223	27	8746.9333333333
Caribbean	I	280001	290000	0.00021192174663354	8889	1.8837724058256	10	8812.53125
Indonesia	I	280001	290000	0.0007381753917137	8882	6.5564738292011	17	8775.25
Africa	I	280001	290000	0.00079874279196741	8889	7.1000246777983	29	8826.4117647059
South America	I	280001	290000	0.00061114149618585	8889	5.4324367595961	37	8857.2260536398
Central America	I	280001	290000	0.00029806166699222	8889	2.6494701578938	15	8788.2413793103
Australia	I	280001	290000	0.00018645229549412	8880	1.6556963839878	5	8833.1666666667
Micronesia	I	280001	290000	0.00028881266987343	8889	2.5672558225049	14	8574.4637681159
Taiwan	I	290001	300000	0.00025011025852567	9142	2.2865079834416	12	9064.7407407407
Hawaii	I	290001	300000	0.00040864473908846	9142	3.7358302047467	20	9039.65
Caribbean	I	290001	300000	0.00034298864168481	9142	3.1356021622825	17	9104.265625
Indonesia	I	290001	300000	0.00054843295828956	9142	5.0137741046832	13	9129
Africa	I	290001	300000	0.00069638074349061	9142	6.3663127569912	26	9103.4117647059
South America	I	290001	300000	0.00067300827222492	9142	6.1526416246802	42	9117.8390804598
Central America	I	290001	300000	0.00024817669224443	9142	2.2688313204986	13	9062.0459770115
Australia	I	290001	300000	7.2443508378375e-05	9142	0.66227855359511	2	9127.5
Micronesia	I	290001	300000	0.00012052429947626	9142	1.1018331458119	6	8939.347826087
Taiwan	I	300001	310000	0.00042158284647135	9496	4.003350710092	21	9442.9074074074
Hawaii	I	300001	310000	0.00039321852040938	9496	3.7340030698074	20	9446.6333333333
Caribbean	I	300001	310000	0.00013604370722512	9496	1.2918710438097	7	9460.40625
Indonesia	I	300001	310000	0.00053349361604184	9496	5.0660553779333	13	9479.75
Africa	I	300001	310000	0.00043866365625853	9496	4.165550079831	17	9446.2941176471
South America	I	300001	310000	0.00052412665073911	9496	4.9771066754186	34	9477.4636015326
Central America	I	300001	310000	0.00027592807131858	9496	2.6202129652412	15	9443.2988505747
Australia	I	300001	310000	0.00010461434608179	9496	0.99341783039266	3	9460.6666666667
Micronesia	I	300001	310000	0.00017421188728546	9496	1.6543160816627	9	9312.7971014493
Taiwan	I	310001	320000	0.00051858853616401	8166	4.2347939863153	21	6878.037037037
Hawaii	I	310001	320000	0.00075280837097424	7921	5.962995106487	30	6411.0833333333
Caribbean	I	310001	320000	0.00027062931744257	8200	2.219160403029	12	7099.109375
Indonesia	I	310001	320000	0.0007910778880141	7602	6.0137741046832	14	6649.5
Africa	I	310001	320000	0.0007918067809249	8139	6.4445153899478	24	6445.5294117647
South America	I	310001	320000	0.00078057470744447	8267	6.4530111064434	44	7490.8735632184
Central America	I	310001	320000	0.00047956896720068	8200	3.9324655310456	22	7202.4137931034
Australia	I	310001	320000	0.00013994336784211	7862	1.1002347579747	3	7152.1666666667
Micronesia	I	310001	320000	0.00043728100372124	8267	3.6150020577635	19	6839.4927536232
Taiwan	I	320001	330000	0.0005070879994256	9389	4.761049226607	25	9327.0925925926
Hawaii	I	320001	330000	0.00041942082960204	9389	3.9379421691336	21	9313.6
Caribbean	I	320001	330000	0.00015716698973288	9389	1.475640866602	8	9344.015625
Indonesia	I	320001	330000	0.00053400512351509	9389	5.0137741046832	13	9370
Africa	I	320001	330000	0.00067806078996604	9389	6.3663127569912	26	9335.1764705882
South America	I	320001	330000	0.00063921986805327	9389	6.0016353411521	41	9359.1149425287
Central America	I	320001	330000	0.00039037502646429	9389	3.6652311234732	21	9325.9655172414
Australia	I	320001	330000	0.0001410754188082	9389	1.3245571071902	4	9344
Micronesia	I	320001	330000	0.00031198673034124	9389	2.9292434111739	16	9134.9130434783
Taiwan	I	330001	340000	0.00056264307832892	9473	5.3299178810098	28	9413.6296296296
Hawaii	I	330001	340000	0.00045317992248039	9473	4.2929734056567	23	9414.3333333333
Caribbean	I	330001	340000	0.00027251804508313	9473	2.5815634410725	14	9449.46875
Indonesia	I	330001	340000	0.00077354836814737	9473	7.3278236914601	19	9457
Africa	I	330001	340000	0.00051674768926199	9473	4.8951508603788	20	9448.0588235294
South America	I	330001	340000	0.0005257877241951	9473	4.9807871113002	34	9456.4674329502
Central America	I	330001	340000	0.00023943043027932	9473	2.268124466036	13	9429.2988505747
Australia	I	330001	340000	0.00013982445974773	9473	1.3245571071902	4	9454.8333333333
Micronesia	I	330001	340000	0.00015424778165196	9473	1.461189235589	8	9310.6376811594
Taiwan	I	340001	350000	0.00047706720059626	9248	4.4119174711142	23	9182.0925925926
Hawaii	I	340001	350000	0.00040349914879405	9248	3.7315601280473	20	9156.0333333333
Caribbean	I	340001	350000	0.00017955362261749	9248	1.6605119019666	9	9204.21875
Indonesia	I	340001	350000	0.00058950370989	9248	5.4517303090628	14	9193.75
Africa	I	340001	350000	0.00053066105058546	9248	4.9075533958143	20	9178
South America	I	340001	350000	0.00044313518243792	9248	4.0981141671859	28	9226.3946360153
Central America	I	340001	350000	0.00035884759740808	9248	3.3186225808299	19	9192.9540229885
Australia	I	340001	350000	3.5806582698697e-05	9248	0.33113927679755	1	9224.1666666667
Micronesia	I	340001	350000	0.00023837216358033	9248	2.2044657687909	12	9002.7826086957
Taiwan	I	350001	360000	0.00069862329163233	9548	6.6704551885055	35	9485.0925925926
Hawaii	I	350001	360000	0.0002933164055119	9548	2.8005850398276	15	9509.3666666667
Caribbean	I	350001	360000	0.00017396843516484	9548	1.6610506189539	9	9520.296875
Indonesia	I	350001	360000	0.00072707883958217	9548	6.9421487603306	18	9538.75
Africa	I	350001	360000	0.00058914167639168	9548	5.6251247261877	23	9508.5294117647
South America	I	350001	360000	0.00056715060384631	9548	5.4151539655245	37	9535.4291187739
Central America	I	350001	360000	0.0002010149756318	9548	1.9192909873324	11	9508.6781609195
Australia	I	350001	360000	0.00027745226375999	9548	2.6491142143804	8	9542.1666666667
Micronesia	I	350001	360000	0.00038430230626522	9548	3.6693184202203	20	9292.1739130435
Taiwan	I	360001	370000	0.00070116262998914	9233	6.4738345626898	34	9197.5185185185
Hawaii	I	360001	370000	0.00034379631157364	9233	3.1742713447594	17	9162.7833333333
Caribbean	I	360001	370000	0.00021959544241986	9233	2.0275247198626	11	9207.0625
Indonesia	I	360001	370000	0.001086055259327	9233	10.027548209366	26	9143.75
Africa	I	360001	370000	0.00055747835055174	9233	5.1471976106442	21	9176.4117647059
South America	I	360001	370000	0.00064987593289789	9233	6.0003044884462	41	9221.4942528736
Central America	I	360001	370000	0.00024557756001012	9233	2.2674176115734	13	9201.8045977011
Australia	I	360001	370000	0.00039541164185552	9212	3.6425320447731	11	9175.1666666667
Micronesia	I	360001	370000	0.00027791334088875	9233	2.5659738764259	14	8974.4202898551
Taiwan	I	370001	380000	0.00044192104811904	9051	3.9998274065254	21	9013.7777777778
