pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Tw4	I	50001	60000	0	9644	0	144244	416
Au	I	50001	60000	0	9644	0	634334	2170
Mic2	I	50001	60000	0.00011082607657143	9644	3968	35803848	1113384
Mic1	I	50001	60000	0.00037030831070575	9644	4336	11709162	104738
Tw5	I	60001	70000	0	9272	0	55372	368
Tw3	I	60001	70000	6.47594394978e-06	9290	112	17294776	272614
Tw1	I	60001	70000	0	9290	0	2121260	24730
Hw3	I	60001	70000	0	9217	0	2893028	126222
Hw1	I	60001	70000	3.8190885045118e-05	9290	360	9426333	188817
HC	I	60001	70000	9.3297195493564e-05	9290	2056	22037104	398246
Hw2	I	60001	70000	0	9264	0	406001	12049
Af	I	60001	70000	0.00071476753794405	9290	4088	5719342	133358
LAC	I	60001	70000	7.6096432642205e-05	9290	218652	2873354143	21920807
Indo2	I	60001	70000	7.377759743254e-05	9127	4	54217	1523
Indo3	I	60001	70000	0	9057	0	9057	233
Indo1	I	60001	70000	0	9204	0	9204	86
Tw2	I	60001	70000	4.6751364555453e-05	9268	12	256677	3443
Tw6	I	60001	70000	0	9224	0	55069	671
Tw7	I	60001	70000	0	8907	0	8907	383
Tw4	I	60001	70000	0	9261	0	137877	1473
Au	I	60001	70000	0	9290	0	606501	6639
Mic2	I	60001	70000	0.00026454760968297	9290	8752	33082892	2479228
Mic1	I	60001	70000	0.00042819517711898	9290	4760	11116426	263824
Tw5	I	70001	80000	0	9815	0	58620	546
Tw3	I	70001	80000	5.6524122973882e-05	9861	1040	18399224	247927
Tw1	I	70001	80000	0	9833	0	2248986	28905
Hw3	I	70001	80000	0	9861	0	3162305	42520
Hw1	I	70001	80000	0	9861	0	10123479	82656
HC	I	70001	80000	0.00013100359090803	9861	3104	23694007	120308
Hw2	I	70001	80000	0	9861	0	436836	6909
Af	I	70001	80000	0.00060624431645953	9861	3740	6169130	43300
LAC	I	70001	80000	5.4741852286212e-05	9861	167512	3060035293	13194662
Indo2	I	70001	80000	6.7875990565237e-05	9861	4	58931	235
Indo3	I	70001	80000	0	9803	0	9803	58
Indo1	I	70001	80000	0	9793	0	9793	68
Tw2	I	70001	80000	0	9827	0	272336	3772
Tw6	I	70001	80000	0	9861	0	59086	80
Tw7	I	70001	80000	0	9778	0	9778	83
Tw4	I	70001	80000	0	9817	0	146570	1345
Au	I	70001	80000	0	9861	0	649943	883
Mic2	I	70001	80000	0.00023021122432162	9861	8336	36210224	1537684
Mic1	I	70001	80000	0.00015139825604987	9861	1804	11915593	164132
Tw5	I	80001	90000	0	9565	0	57155	235
Tw3	I	80001	90000	0	9565	0	17741252	346163
Tw1	I	80001	90000	0	9565	0	2199832	9683
Hw3	I	80001	90000	0	9523	0	3007844	100781
Hw1	I	80001	90000	0	9565	0	9766321	133454
HC	I	80001	90000	0.00014384058552894	9565	3296	22914256	185219
Hw2	I	80001	90000	0	9565	0	414503	15922
Af	I	80001	90000	0.00034777772379815	9565	2076	5969330	56620
LAC	I	80001	90000	8.4005698211694e-05	9565	248892	2962799016	18181059
Indo2	I	80001	90000	0.00014065439457074	9562	8	56877	513
Indo3	I	80001	90000	0	9557	0	9557	8
Indo1	I	80001	90000	0	9489	0	9489	76
Tw2	I	80001	90000	0	9565	0	264342	3478
Tw6	I	80001	90000	0	9492	0	56067	1323
Tw7	I	80001	90000	0	9346	0	9346	219
Tw4	I	80001	90000	0	9561	0	142890	585
Au	I	80001	90000	0	9565	0	629308	1982
Mic2	I	80001	90000	0.00025842845216499	9565	8960	34671105	1943715
Mic1	I	80001	90000	0.00022956963282204	9565	2632	11464931	252194
Tw5	I	90001	100000	0	9045	0	53955	429
Tw3	I	90001	100000	7.0674091843809e-06	9064	120	16979348	160676
Tw1	I	90001	100000	5.3901714074508e-05	9064	112	2077856	15928
Hw3	I	90001	100000	0	9064	0	2834946	110854
Hw1	I	90001	100000	1.7371072712596e-05	9064	160	9210715	170525
HC	I	90001	100000	0.00016636458522192	9064	3608	21687308	202252
Hw2	I	90001	100000	0	8946	0	387890	19990
Af	I	90001	100000	0.000455639065727	9064	2568	5636040	74280
LAC	I	90001	100000	9.0941774304392e-05	9064	255080	2804871600	19969320
Indo2	I	90001	100000	7.4199113320596e-05	9064	4	53909	475
Indo3	I	90001	100000	0	9041	0	9041	23
Indo1	I	90001	100000	0	9055	0	9055	9
Tw2	I	90001	100000	0	9062	0	249393	4399
Tw6	I	90001	100000	0	9055	0	54025	359
Tw7	I	90001	100000	0	8942	0	8942	122
Tw4	I	90001	100000	0	9053	0	134133	1827
Au	I	90001	100000	0	9064	0	596299	1925
Mic2	I	90001	100000	0.00011193332843928	9064	3696	33019656	1677336
Mic1	I	90001	100000	0.00039013679904856	9064	4256	10908994	194406
Tw5	I	100001	110000	0	9321	0	55721	223
Tw3	I	100001	110000	3.6578361738622e-05	9324	640	17496683	135001
Tw1	I	100001	110000	0	9324	0	2141993	11851
Hw3	I	100001	110000	0	8984	0	2856879	173421
Hw1	I	100001	110000	1.6796517745941e-05	9324	160	9525784	124556
HC	I	100001	110000	0.00012052388011254	9324	2696	22369011	148449
Hw2	I	100001	110000	0	9323	0	409772	9808
Af	I	100001	110000	0.00057939336259932	9324	3324	5737035	137085
LAC	I	100001	110000	9.0149847047537e-05	9324	260628	2891053158	14818062
Indo2	I	100001	110000	7.1814574767949e-05	9314	4	55699	245
Indo3	I	100001	110000	0	9279	0	9279	45
Indo1	I	100001	110000	0	9301	0	9301	23
Tw2	I	100001	110000	0	9324	0	260149	923
Tw6	I	100001	110000	0	9324	0	55614	330
Tw7	I	100001	110000	0	8796	0	8796	528
Tw4	I	100001	110000	0	9323	0	139566	294
Au	I	100001	110000	5.2154298492089e-05	9324	32	613564	1820
Mic2	I	100001	110000	0.00032024233666518	9324	10908	34061705	1630567
Mic1	I	100001	110000	0.00054930504146748	9324	6204	11294271	127629
Tw5	I	110001	120000	0	8749	0	51264	2130
Tw3	I	110001	120000	0.00019500315118802	8742	3100	15897179	930830
Tw1	I	110001	120000	0	8663	0	1956113	99556
Hw3	I	110001	120000	0	8776	0	2749674	142501
Hw1	I	110001	120000	0	8798	0	8717400	493065
HC	I	110001	120000	9.4352983750942e-05	8744	1920	20349118	1141967
Hw2	I	110001	120000	0	8670	0	376638	23817
Af	I	110001	120000	0.00020785526782711	8726	1076	5176679	429691
LAC	I	110001	120000	4.0519531455725e-05	8859	107060	2642182576	131235269
Indo2	I	110001	120000	7.7573500892095e-05	8739	4	51564	1830
Indo3	I	110001	120000	0	8751	0	8751	148
Indo1	I	110001	120000	0	8649	0	8649	250
Tw2	I	110001	120000	0	8695	0	237657	11515
Tw6	I	110001	120000	0	8694	0	51259	2135
Tw7	I	110001	120000	0	8675	0	8675	224
Tw4	I	110001	120000	0	8736	0	128020	5465
Au	I	110001	120000	0	8766	0	564298	23036
Mic2	I	110001	120000	0.00011629442887155	8898	3608	31024702	3040670
Mic1	I	110001	120000	0.0002796435903883	8889	2756	9855402	1045873
Tw5	I	120001	130000	0	9630	0	57765	15
Tw3	I	120001	130000	8.6095656358239e-05	9630	1560	18119381	90949
Tw1	I	120001	130000	0	9630	0	2216092	8438
Hw3	I	120001	130000	0	9630	0	3099673	30077
Hw1	I	120001	130000	0	9630	0	9846633	120417
HC	I	120001	130000	0.00011049541092272	9630	2560	23168383	88067
Hw2	I	120001	130000	0	9630	0	422391	10959
Af	I	120001	130000	0.00025902068595651	9630	1560	6022685	44215
LAC	I	120001	130000	3.3188423909431e-05	9630	99280	2991404481	9833169
Indo2	I	120001	130000	6.9234097793163e-05	9630	4	57775	5
Indo3	I	120001	130000	0	9609	0	9609	21
Indo1	I	120001	130000	0	9612	0	9612	18
Tw2	I	120001	130000	0	9630	0	269094	546
Tw6	I	120001	130000	0	9630	0	57525	255
Tw7	I	120001	130000	0	9583	0	9583	47
Tw4	I	120001	130000	0	9630	0	144324	126
Au	I	120001	130000	5.039100268647e-05	9630	32	635034	546
Mic2	I	120001	130000	0.0001573425097706	9630	5592	35540300	1323340
Mic1	I	120001	130000	0.00023810377030991	9630	2784	11692381	104369
Tw5	I	130001	140000	0	9195	0	54910	896
Tw3	I	130001	140000	7.3424783135888e-05	9301	1280	17432806	155385
Tw1	I	130001	140000	0	9301	0	2129570	18961
Hw3	I	130001	140000	0	9301	0	2998690	24135
Hw1	I	130001	140000	0	9258	0	9443972	182563
HC	I	130001	140000	6.5152127049543e-05	9301	1440	22102118	359797
Hw2	I	130001	140000	0	9301	0	410788	7757
Af	I	130001	140000	0.00051444719163518	9301	2996	5823727	35903
LAC	I	130001	140000	3.8574152134932e-05	9301	111224	2883381587	15321568
Indo2	I	130001	140000	0.00014483045784528	9297	8	55237	569
Indo3	I	130001	140000	0	9190	0	9190	111
Indo1	I	130001	140000	0	9293	0	9293	8
Tw2	I	130001	140000	0	9240	0	255773	4655
Tw6	I	130001	140000	0	9229	0	55029	777
Tw7	I	130001	140000	0	9275	0	9275	26
Tw4	I	130001	140000	0	9227	0	137864	1651
Au	I	130001	140000	0	9214	0	604850	9016
Mic2	I	130001	140000	0	9301	0	33911666	1692562
Mic1	I	130001	140000	4.0132163815193e-05	9280	448	11163116	230609
Tw5	I	140001	150000	0	9504	0	56704	362
Tw3	I	140001	150000	0	9511	0	17689610	295691
Tw1	I	140001	150000	0	9511	0	2185849	11192
Hw3	I	140001	150000	0	9509	0	2994714	96361
Hw1	I	140001	150000	0	9511	0	9764204	79681
HC	I	140001	150000	0.00016515980638134	9511	3704	22426764	542301
Hw2	I	140001	150000	0	9421	0	408531	19464
Af	I	140001	150000	0.00048637842792628	9486	2860	5880195	111735
LAC	I	140001	150000	6.3120806434359e-05	9511	185416	2937478313	26672392
Indo2	I	140001	150000	0	9510	0	56950	116
Indo3	I	140001	150000	0	9401	0	9401	110
Indo1	I	140001	150000	0	9471	0	9471	40
Tw2	I	140001	150000	0	9511	0	263729	2579
Tw6	I	140001	150000	0	9452	0	56497	569
Tw7	I	140001	150000	0	9369	0	9369	142
Tw4	I	140001	150000	0	9511	0	142502	163
Au	I	140001	150000	5.1558766520959e-05	9478	32	620651	7075
Mic2	I	140001	150000	0.00012494871045195	9511	4280	34254055	2154053
Mic1	I	140001	150000	0.000349856053944	9511	3976	11364674	286301
Tw5	I	150001	160000	0	9641	0	57781	65
Tw3	I	150001	160000	0.00013174237979278	9641	2352	17853025	378106
Tw1	I	150001	160000	0	9641	0	2223139	3932
Hw3	I	150001	160000	0	9599	0	3058963	74362
Hw1	I	150001	160000	0	9603	0	9715630	262805
HC	I	150001	160000	9.6455183982103e-05	9641	2192	22725580	557435
Hw2	I	150001	160000	0	9609	0	424299	9546
Af	I	150001	160000	0.00063142475940238	9641	3796	6011801	62029
LAC	I	150001	160000	5.6735686626614e-05	9641	170008	2996491452	8174403
Indo2	I	150001	160000	0	9641	0	57846	0
Indo3	I	150001	160000	0	9556	0	9556	85
Indo1	I	150001	160000	0	9594	0	9594	47
Tw2	I	150001	160000	0	9641	0	269558	390
Tw6	I	150001	160000	0	9544	0	56869	977
Tw7	I	150001	160000	0	9467	0	9467	174
Tw4	I	150001	160000	0	9641	0	143452	1163
Au	I	150001	160000	0	9641	0	633955	2351
Mic2	I	150001	160000	0.00016743761553031	9641	5848	34926441	1979307
Mic1	I	150001	160000	0.00041502472223678	9641	4816	11604128	206097
Tw5	I	160001	170000	0	9515	0	56740	398
Tw3	I	160001	170000	2.940500887183e-05	9523	520	17684062	323931
Tw1	I	160001	170000	0	9523	0	2191600	8213
Hw3	I	160001	170000	0	9520	0	3048908	46067
Hw1	I	160001	170000	0	9514	0	9577223	279082
HC	I	160001	170000	9.5144279503848e-05	9523	2128	22366032	632013
Hw2	I	160001	170000	0	9386	0	403295	25240
Af	I	160001	170000	0.00037989118440642	9523	2224	5854308	145182
LAC	I	160001	170000	0.00012348136529506	9523	362256	2933689623	34200942
Indo2	I	160001	170000	0	9495	0	56800	338
Indo3	I	160001	170000	0	9387	0	9387	136
Indo1	I	160001	170000	0	9474	0	9474	49
Tw2	I	160001	170000	0	9520	0	262986	3658
Tw6	I	160001	170000	0	9466	0	56316	822
Tw7	I	160001	170000	0	9429	0	9429	94
Tw4	I	160001	170000	0	9481	0	141544	1301
Au	I	160001	170000	0	9523	0	623641	4877
Mic2	I	160001	170000	0.00025760870118855	9523	8952	34750379	1703665
Mic1	I	160001	170000	0.00022652222018569	9523	2604	11495561	170114
Tw5	I	170001	180000	0	9592	0	57467	121
Tw3	I	170001	180000	0.00012176003119738	9598	2180	17904069	245749
Tw1	I	170001	180000	1.8111602790817e-05	9598	40	2208529	8609
Hw3	I	170001	180000	0	9597	0	3088434	30916
Hw1	I	170001	180000	0	9598	0	9825276	108654
HC	I	170001	180000	5.7473844284807e-05	9598	1320	22966969	212201
Hw2	I	170001	180000	0	9598	0	421966	9944
Af	I	170001	180000	0.00053327327275766	9598	3168	5940669	106071
LAC	I	170001	180000	7.1286715564407e-05	9598	211832	2971549444	19715246
Indo2	I	170001	180000	0.00013990905911158	9595	8	57180	408
Indo3	I	170001	180000	0	9580	0	9580	18
Indo1	I	170001	180000	0	9567	0	9567	31
Tw2	I	170001	180000	0	9598	0	265328	3416
Tw6	I	170001	180000	0	9594	0	56879	709
Tw7	I	170001	180000	0	9565	0	9565	33
Tw4	I	170001	180000	0	9594	0	143729	241
Au	I	170001	180000	0	9598	0	628325	5143
Mic2	I	170001	180000	0.0001165460943289	9598	4012	34424148	2316996
Mic1	I	170001	180000	0.00033956810426088	9598	3932	11579415	178135
Tw5	I	180001	190000	0	9521	0	56891	235
Tw3	I	180001	190000	0.00011711246822691	9521	2080	17760705	243506
Tw1	I	180001	190000	0	9521	0	2191102	8249
Hw3	I	180001	190000	0	9521	0	3060223	34102
Hw1	I	180001	190000	0	9521	0	9768237	85998
HC	I	180001	190000	0.00010169741756942	9521	2320	22812772	180443
Hw2	I	180001	190000	0	9520	0	416871	11574
Af	I	180001	190000	0.00043815178021876	9521	2604	5943146	55084
LAC	I	180001	190000	9.406785297598e-05	9521	277972	2955015887	12251368
Indo2	I	180001	190000	0	9521	0	56881	245
Indo3	I	180001	190000	0	9476	0	9476	45
Indo1	I	180001	190000	0	9460	0	9460	61
Tw2	I	180001	190000	0	9521	0	264733	1855
Tw6	I	180001	190000	0	9520	0	56750	376
Tw7	I	180001	190000	0	9467	0	9467	54
Tw4	I	180001	190000	0	9521	0	142196	619
Au	I	180001	190000	0	9521	0	627936	450
Mic2	I	180001	190000	0.00043344870883057	9521	14940	34467746	1978642
Mic1	I	180001	190000	0.00044907542859636	9521	5168	11508089	155136
Tw5	I	190001	200000	0.00014166563368809	9426	8	56471	85
Tw3	I	190001	200000	0.00011766646580398	9426	2080	17677084	147482
Tw1	I	190001	200000	8.8547489125261e-05	9426	192	2168328	9078
Hw3	I	190001	200000	0	9373	0	3014643	48807
Hw1	I	190001	200000	0	9426	0	9717189	38721
HC	I	190001	200000	9.1551542369541e-05	9426	2072	22632060	131730
Hw2	I	190001	200000	0	9426	0	416726	7444
Af	I	190001	200000	0.0007790346044389	9426	4592	5894475	43905
LAC	I	190001	200000	4.5352432530045e-05	9426	132704	2926061351	11598679
Indo2	I	190001	200000	7.147324220495e-05	9365	4	55965	591
Indo3	I	190001	200000	0	9187	0	9187	239
Indo1	I	190001	200000	0	9415	0	9415	11
Tw2	I	190001	200000	0	9426	0	260136	3792
Tw6	I	190001	200000	0	9426	0	56336	220
Tw7	I	190001	200000	0	9202	0	9202	224
Tw4	I	190001	200000	0	9426	0	141372	18
Au	I	190001	200000	0	9426	0	620586	1530
Mic2	I	190001	200000	0.00018566643872726	9426	6288	33867187	2215541
Mic1	I	190001	200000	0.0003843181309469	9426	4368	11365584	181266
Tw5	I	200001	210000	0	9290	0	55665	75
Tw3	I	200001	210000	9.0224577649209e-05	9290	1560	17290189	277201
Tw1	I	200001	210000	0	9290	0	2132950	13040
Hw3	I	200001	210000	1.6135826004699e-05	9290	48	2974747	44503
Hw1	I	200001	210000	2.5278290277559e-05	9290	240	9494313	120837
HC	I	200001	210000	0.00014395957213133	9290	3208	22284034	151316
Hw2	I	200001	210000	0	9290	0	404922	13128
Af	I	200001	210000	0.00072004306398075	9290	4156	5771877	80823
LAC	I	200001	210000	0.00016708334563074	9290	481632	2882585324	12689626
Indo2	I	200001	210000	0	9290	0	55475	265
Indo3	I	200001	210000	0	9253	0	9253	37
Indo1	I	200001	210000	0	9281	0	9281	9
Tw2	I	200001	210000	0	9290	0	257573	2547
Tw6	I	200001	210000	0	9290	0	55455	285
Tw7	I	200001	210000	0	9268	0	9268	22
Tw4	I	200001	210000	0	9290	0	138395	955
Au	I	200001	210000	0	9290	0	607757	5383
Mic2	I	200001	210000	0.00035023862515634	9290	11864	33874048	1688072
Mic1	I	200001	210000	0.00016516188814358	9290	1848	11189022	191228
Tw5	I	210001	220000	0	7917	0	47452	6788
Tw3	I	210001	220000	3.791010470447e-05	9040	632	16671017	423623
Tw1	I	210001	220000	4.6558931239733e-05	9040	96	2061903	26337
Hw3	I	210001	220000	0	9029	0	2854148	83852
Hw1	I	210001	220000	0	9040	0	9224737	131663
HC	I	210001	220000	6.6920969483709e-05	9040	1424	21278831	552769
Hw2	I	210001	220000	0	8961	0	391414	15386
Af	I	210001	220000	0.00060863945038709	9040	3392	5573086	122114
LAC	I	210001	220000	4.6362265126594e-05	9040	129348	2789941338	27419862
Indo2	I	210001	220000	0.00022191400832178	9040	12	54075	165
Indo3	I	210001	220000	0	8960	0	8960	80
Indo1	I	210001	220000	0	9002	0	9002	38
Tw2	I	210001	220000	0	9040	0	249574	3546
Tw6	I	210001	220000	0	9034	0	53899	341
Tw7	I	210001	220000	0	8916	0	8916	124
Tw4	I	210001	220000	0	9000	0	134412	1188
Au	I	210001	220000	0	9040	0	593804	2836
Mic2	I	210001	220000	0.00015742499336324	9040	4916	31227570	3377550
Mic1	I	210001	220000	0.00061907709002422	9040	6636	10719182	354818
Tw5	I	220001	230000	0	8573	0	50033	4201
Tw3	I	220001	230000	0.00012284757333958	8686	1912	15564003	1528746
Tw1	I	220001	230000	0	8566	0	1938622	149387
Hw3	I	220001	230000	0	8597	0	2699822	237853
Hw1	I	220001	230000	4.1729957101604e-05	8585	360	8626896	728469
HC	I	220001	230000	0.00019201491414912	8856	3876	20185932	1643253
Hw2	I	220001	230000	0	8559	0	375276	31479
Af	I	220001	230000	0.00078506737699481	8625	4112	5237767	456803
LAC	I	220001	230000	0.00018068575192765	8976	487240	2696615504	120434041
Indo2	I	220001	230000	0	8606	0	50336	3898
Indo3	I	220001	230000	0	8581	0	8581	458
Indo1	I	220001	230000	0	8399	0	8399	640
Tw2	I	220001	230000	0	8582	0	233558	19534
Tw6	I	220001	230000	0	8424	0	49934	4300
Tw7	I	220001	230000	0	8447	0	8447	592
Tw4	I	220001	230000	6.3805520772685e-05	8555	8	125381	10204
Au	I	220001	230000	0	8541	0	549978	46596
Mic2	I	220001	230000	0.00029258403815598	8896	8832	30186199	4415093
Mic1	I	220001	230000	0.00066300303476168	8963	6792	10244297	828478
Tw5	I	230001	240000	0	9266	0	55191	813
Tw3	I	230001	240000	6.7070933430126e-05	9334	1156	17235484	415110
Tw1	I	230001	240000	5.5861578732007e-05	9334	120	2148167	7987
Hw3	I	230001	240000	0	9307	0	2932683	100867
Hw1	I	230001	240000	0	9334	0	9573326	87364
HC	I	230001	240000	6.9083131023804e-05	9334	1536	22234082	307528
Hw2	I	230001	240000	0	9334	0	410244	9786
Af	I	230001	240000	0.00047227758288056	9334	2728	5776264	104156
LAC	I	230001	240000	8.2450550536022e-05	9334	238376	2891138973	17848797
Indo2	I	230001	240000	7.2337962962963e-05	9271	4	55296	708
Indo3	I	230001	240000	0	9223	0	9223	111
Indo1	I	230001	240000	0	9289	0	9289	45
Tw2	I	230001	240000	0	9334	0	260741	611
Tw6	I	230001	240000	0	9278	0	55113	891
Tw7	I	230001	240000	0	9121	0	9121	213
Tw4	I	230001	240000	0	9334	0	139848	162
Au	I	230001	240000	0	9334	0	613144	2900
Mic2	I	230001	240000	0.0003271742912018	9334	10984	33572320	2158232
Mic1	I	230001	240000	0.0002973692979036	9334	3336	11218374	215776
Tw5	I	240001	250000	0	9390	0	55145	1675
Tw3	I	240001	250000	0.00012887676692244	9470	2200	17070571	837199
Tw1	I	240001	250000	0	9366	0	2101065	86505
Hw3	I	240001	250000	0	9326	0	2902829	174921
Hw1	I	240001	250000	0	9441	0	9401631	399819
HC	I	240001	250000	9.9096754150844e-05	9429	2164	21837244	1032806
Hw2	I	240001	250000	0	9321	0	400786	25364
Af	I	240001	250000	0.00055621412853413	9470	3200	5753180	212920
LAC	I	240001	250000	8.0798208656252e-05	9470	230432	2851944416	99428434
Indo2	I	240001	250000	0	9377	0	55567	1253
Indo3	I	240001	250000	0	9423	0	9423	47
Indo1	I	240001	250000	0	9347	0	9347	123
Tw2	I	240001	250000	0	9359	0	250681	14479
Tw6	I	240001	250000	0	9319	0	55269	1551
Tw7	I	240001	250000	0	9160	0	9160	310
Tw4	I	240001	250000	0	9375	0	138267	3783
Au	I	240001	250000	0	9414	0	607094	17926
Mic2	I	240001	250000	0.00018177966059833	9470	6072	33403077	2848083
Mic1	I	240001	250000	0.00038660062449898	9470	4284	11081203	519547
